"","quad_pt1","quad_pt2","quad_pt3","quad_pt4","quad_pt5","quad_pt6","quad_pt7","quad_pt8","quad_pt9","quad_pt10","quad_pt11","quad_pt12","quad_pt13","quad_pt14","quad_pt15","quad_pt16","quad_pt17","quad_pt18","quad_pt19","quad_pt20","quad_pt21","quad_pt22","quad_pt23","quad_pt24","quad_pt25","quad_pt26","quad_pt27","quad_pt28","quad_pt29","quad_pt30","quad_pt31","quad_pt32","quad_pt33","quad_pt34","quad_pt35","quad_pt36","quad_pt37","quad_pt38","quad_pt39","quad_pt40","quad_pt41","quad_pt42","quad_pt43","quad_pt44","quad_pt45","quad_pt46","quad_pt47","quad_pt48","weight","k"
"11",4.51676125494561e-06,2.18220152348159e-06,4.33297794574924e-06,1.14941332741116e-06,3.26100219095557e-06,2.31221449473247e-06,1.99847985775047e-06,8.07897291271701e-07,2.26863804139678e-06,1.78675772438076e-07,3.61421142967106e-06,2.09640388306628e-06,4.443251910534e-06,2.85181070486533e-06,3.23598126509668e-06,2.4575981067326e-06,2.98586771388164e-06,1.83722245299584e-06,-8.22048224412463e-08,1.37249907180055e-06,1.04841585198601e-06,1.01724808620299e-06,4.50630690602258e-06,-6.73084176914746e-08,-1.76977397415448e-06,-1.41514193627745e-06,1.32852740278759e-07,3.03176580982828e-06,-1.32940301266118e-06,3.59554691969724e-06,2.7364587179121e-06,-2.35762227547963e-07,-1.25719860101968e-06,-2.01471760678637e-06,2.44287326970608e-06,8.30919222454038e-07,1.81635801158913e-06,-1.07252522807325e-06,4.23290958553028e-07,2.25297568330814e-06,-1.34480899587943e-06,1.69081957520896e-07,1.41608283404803e-07,-6.93972822046492e-07,-1.13273245375663e-07,-3.32323838580875e-07,-1.69919792002839e-06,-1.6756357741355e-06,-8,2
"12",2.98200036483814e-05,1.17249567020394e-05,1.72632941340099e-05,-2.42543649274147e-05,-1.01736554625675e-05,-1.76984383993105e-05,-2.39278338820108e-05,-7.08164066457873e-06,-2.36986024256106e-05,-1.59797951206555e-05,-1.0181102085785e-05,2.69566656978348e-05,1.71035855511391e-05,2.715293591751e-05,2.25458377720789e-05,9.32254192411683e-06,1.84406398905209e-05,-2.36230335565623e-05,-1.00561024066579e-05,-1.98680498865173e-05,2.1345824266568e-05,-1.887666233149e-05,2.96848748115494e-05,1.95144077128981e-05,1.05890344497136e-05,-1.33994552913457e-05,-2.23094322597066e-05,2.05862657509921e-05,-6.26337192979373e-06,2.37474917673819e-05,-1.84257875742961e-05,-1.82121708230177e-05,-1.36191999667196e-06,2.0472583275865e-05,3.38947892585273e-06,5.52958845194839e-06,1.62547496201458e-06,1.20070740181114e-05,-4.58476150703394e-06,5.90371493824771e-07,2.45304752358382e-05,-2.54151553347787e-05,-2.56941360104634e-05,-2.57121453752005e-05,2.50906166649985e-05,-1.32833311874459e-05,3.6090668618785e-06,2.34709609483602e-05,0.5,2
"13",-7.01367578747146e-06,-2.2720430574768e-05,3.00689877762117e-05,6.81829606841185e-06,2.8982304570029e-05,1.62897096406129e-05,1.67605887670426e-05,-2.49598196785328e-05,-9.15788263473277e-06,-1.83369451274718e-05,-2.12700239727307e-05,-6.72500700631647e-06,-2.03388652435564e-05,1.04972530815487e-05,-1.37700496135423e-05,2.71272282229305e-05,2.40764443584103e-05,-9.38155231783017e-06,2.41253759218322e-05,2.01958488794729e-05,-2.02965933041546e-05,-2.04389343277029e-05,1.90972624410041e-05,1.95727819681662e-05,-5.61315847680597e-06,5.34999377060655e-06,-2.47337425062394e-06,-1.59037215183304e-05,-1.21909570297136e-05,1.93879048239925e-05,-1.61263557454088e-05,2.13777489393623e-05,1.57282735107607e-06,4.13462024515023e-06,2.19696882872866e-08,-2.30852089802898e-05,2.86771456689133e-06,2.41920299965988e-05,2.2050115700783e-05,6.58692994425319e-07,2.41437321191798e-05,2.6210203151838e-05,-2.45410310562377e-05,1.40917471008333e-05,-2.66618695462401e-05,-2.5149505127364e-05,1.17192459759422e-05,-1.37447318674367e-05,0.5,2
"14",-4.99890556905956e-05,-4.88847572680764e-05,3.17238621490009e-05,4.98170394354759e-05,5.97076481087126e-05,7.31588986894411e-05,5.89319002666352e-05,3.69849671784513e-05,3.0800659459122e-05,5.49271560421513e-05,-1.98826419663131e-05,-4.78011295478099e-05,-4.93535851095197e-05,3.44712131166921e-05,-6.68437240262895e-05,-2.86125504615776e-05,-4.83374692426258e-05,-2.4352619007417e-05,4.95936741790348e-05,-5.0965175002165e-05,5.77924082703226e-05,-1.64407376616501e-06,-2.03489034030204e-05,3.14073185273499e-07,2.035661984616e-05,-2.63060911124176e-05,-5.73565455623681e-05,-6.74582985707789e-05,7.34099843924055e-06,5.44122845015382e-05,-4.3971060130174e-05,7.05551470636119e-05,6.96099971049681e-05,5.41455987892877e-05,7.36861860749082e-05,6.43369418742083e-05,-6.8417976084329e-05,-2.92420442949589e-05,-6.32543429871087e-05,-6.74635021695945e-05,5.78819343601021e-06,-6.88799418199888e-05,-9.61703164288643e-06,-5.68910216375882e-05,6.99928848757709e-05,2.5421258094407e-05,-1.3296292457793e-05,5.31912647342566e-05,0.5,2
"15",3.21298567694242e-05,3.24590004442921e-05,6.18068959766683e-05,3.60339411475629e-05,3.20350657784735e-05,5.66671612473621e-05,-2.17289824428528e-05,-5.0766035889067e-05,-5.19443478139946e-05,-7.1170340544944e-05,-5.11145984763941e-05,-3.01233464484267e-05,-2.0323962430072e-05,5.17164893670919e-05,-4.86361381179486e-05,4.99639028362401e-05,7.32932194782824e-05,-5.09002654726316e-05,-2.77370805811989e-05,-2.81193689276222e-06,2.76397453041762e-07,5.63353501726185e-05,6.1363231070922e-05,-5.36627699523906e-05,-1.30204056093018e-05,7.42640396062158e-06,6.29253721991148e-05,5.31626665198592e-05,2.10786107626577e-05,7.43985393742249e-05,-6.87205369640097e-05,-4.80065270806895e-05,-7.20452101836302e-05,-6.62399299947124e-05,7.32363540819774e-05,5.69815434364327e-05,7.22750936084451e-05,-5.7281520314821e-05,-5.7472870570631e-05,-6.86088160001572e-05,-7.08847901684212e-05,-1.03714287323297e-05,6.95249921856105e-05,2.47026504012838e-05,6.72280783418771e-06,5.4507105708975e-05,-2.62981604504708e-05,-2.98789317454905e-05,0.5,2
"16",1.25817040875651e-05,-2.19843665311227e-05,2.7995749652789e-05,-6.21069391558566e-06,2.67064174182763e-05,2.10272532302393e-05,9.33300799921209e-06,-2.47702250619084e-05,9.35951149610853e-06,-2.21706750265619e-05,2.60653863143071e-05,-5.79505890794463e-06,2.74300191437979e-05,-4.97727134423565e-06,2.10209468457925e-05,-2.19888731144064e-05,-1.7716371696195e-05,-7.10440634912861e-06,-2.49706086651138e-05,-1.40071142740863e-05,-1.4313948093277e-05,-1.51569872594093e-05,1.28972956847406e-05,-1.73088104817134e-05,2.20195673203166e-05,2.25803418741754e-05,-1.17392326323332e-05,-1.65243701936966e-05,2.53623998515637e-05,2.15876750179901e-05,1.92310091101673e-05,-2.09966955740451e-05,-2.85252048948141e-05,-1.52305164939747e-05,3.03474701397812e-05,2.81671113156333e-05,-2.3840669770655e-05,2.18697287550485e-05,2.66550645243302e-05,2.87915433157951e-05,-1.88774446804036e-06,7.07126269219561e-06,9.68592350400286e-07,6.93858591402715e-06,6.93456527072469e-06,2.36761988266269e-05,2.4542425616389e-05,5.39150221405653e-06,0.5,2
"17",2.9376586284523e-05,-4.75265215363222e-06,1.15031842669559e-05,-2.47108552737845e-05,1.01438013276017e-05,-2.01544737834223e-05,2.46717268673012e-05,-5.93745254828301e-06,2.64634369701354e-05,1.92664147414438e-05,1.32263136513635e-05,-2.21843540106076e-05,1.45161698121634e-05,-2.21707211420706e-05,-1.68340190882008e-05,-6.62639850172648e-06,2.05769730539869e-05,-2.26839961537585e-05,-9.99935228069138e-06,-1.6942963922291e-05,-1.48787828307529e-05,-1.37208256918305e-05,2.80806774061123e-05,-1.64440475614412e-05,2.49527529145614e-05,2.45435167396636e-05,2.68592921231737e-05,2.18986069570117e-05,2.29942778884487e-05,-1.71543771994807e-05,-1.64924488822044e-05,1.58300791443281e-05,2.57936290104004e-05,2.46130029703005e-05,-2.40596707474071e-05,-1.07388601007494e-05,2.92128258174361e-05,5.07949777362414e-06,-1.33638476631754e-05,-2.40060728930325e-05,4.48922306493789e-06,-1.49869823990577e-06,7.95743970272465e-06,2.16936915215337e-05,1.30589858722989e-06,7.97949643631175e-06,2.15312073050186e-05,2.25214425432787e-05,0.5,2
"18",5.05359481617735e-05,-4.61490411490393e-05,6.94348890224299e-05,-5.1751085152981e-05,4.61720358646281e-05,-8.21345629206626e-06,4.48318716131422e-05,6.12547573348529e-05,6.73198835401029e-05,4.55388263223316e-05,7.00760348128268e-05,-4.77076518046121e-05,5.04134625055326e-05,6.52800526318652e-05,-2.76763411609509e-06,6.60598821233773e-05,5.25543123427696e-05,6.66295594670607e-05,-5.10383091747299e-05,4.79938013620897e-05,4.25354050691862e-05,-6.98260071299027e-05,7.14419466668033e-05,-7.04484282836184e-05,-6.79736071601812e-05,-6.55052584469588e-05,-3.78754235618338e-05,-8.84173849161643e-07,-7.05012466607801e-05,5.19473324884044e-05,5.46361131422161e-05,-8.25409392791984e-06,-5.47224467827844e-06,-4.42854100796692e-05,-1.36687780861113e-07,-3.22264842961055e-05,2.62668014238998e-06,-6.41776838269411e-05,-2.68302752478107e-05,5.16439154293891e-06,-7.06479519154742e-05,-4.26157670224044e-06,-6.92144800331794e-05,-4.00156636611383e-05,-1.11186863091163e-05,-6.62974531002178e-05,-6.9693849978984e-05,-4.59541236971014e-05,0.5,2
"19",6.88084286269953e-05,6.60720827433599e-05,4.46750664633459e-05,6.24974759721895e-05,6.6946981687807e-05,4.68803149452706e-05,6.81366709891102e-05,-5.06685981704253e-05,4.76882115078975e-05,-6.24351239657501e-06,4.84772258331198e-05,6.59304343602182e-05,7.03673480805144e-05,-5.15952522695587e-05,5.18726441765437e-05,-5.29817566325734e-05,-8.94766626819183e-06,-4.85974182024704e-05,6.57041858674712e-05,-7.15521754069355e-05,-7.19224060831313e-05,4.4340321235833e-05,4.55594398806044e-05,4.69836576843786e-05,-7.0073845155939e-05,-7.04485774688363e-05,-3.17255971999506e-05,5.21134781954057e-05,-6.73622399271633e-05,-7.67324195566432e-06,-2.93074873768251e-06,5.2296541540503e-05,1.91211228689847e-06,-2.93500395598415e-05,-3.73013963764318e-06,-4.26684285244262e-05,-1.99516613897836e-07,-4.11724458272164e-05,-3.9019619519299e-05,1.39154920713057e-06,-5.98607410799805e-06,-7.03095020317933e-05,-9.25909269872486e-06,-6.64479786880763e-05,-7.11219073918473e-05,-4.42426465342381e-05,-6.61348434102524e-05,-6.5451772944832e-05,0.5,2
"20",0.000199639237891569,0.000197483195032501,0.000200693519446415,0.000197218149429153,0.000199081104304534,0.00019911466239571,0.000196260718946978,0.000193849917684861,0.000195447213831232,0.000193015663863175,0.00019681688356815,0.000196665782442059,0.000198569772825652,0.000198725810260401,0.00019725011938164,0.000197414611166653,0.000198535460450462,0.000194526102646045,0.000194600441569879,0.000195147785634098,0.000196059426261521,0.000197227025315788,0.000200331192102182,0.000194492082053595,0.000194692843340212,0.000194866629913601,0.000196104664484387,0.000198411335766732,0.000195584300763971,0.00020058406969463,0.000195479131135093,0.00019375296028992,0.000192373649140306,0.000192678797806548,0.000199990276580547,0.000198417629620582,0.000197405333265008,0.000194096044396895,0.000194751306678352,0.000195839481684377,0.0001934737911931,0.000194659170481169,0.000196964168403675,0.000194995434022085,0.000196193614282235,0.000197069198253655,0.000194285739593406,0.00019421740820398,0.5,2
