,z1,z2,z3,z4,z5,z6,z7,z8,z9,weight,k
112,0,0,0,0,0,0,0,0,1,-3.99999999999999,3
113,0,0,0,0,0,0,0,0,1.73205080756888,0.166666666666667,3
114,0,0,0,0,0,0,0,1,-1,0.25,3
115,0,0,0,0,0,0,0,1,0,-3.99999999999999,3
116,0,0,0,0,0,0,0,1,1,0.25,3
117,0,0,0,0,0,0,0,1.73205080756888,0,0.166666666666667,3
118,0,0,0,0,0,0,1,-1,0,0.25,3
119,0,0,0,0,0,0,1,0,-1,0.25,3
120,0,0,0,0,0,0,1,0,0,-3.99999999999999,3
121,0,0,0,0,0,0,1,0,1,0.25,3
122,0,0,0,0,0,0,1,1,0,0.25,3
123,0,0,0,0,0,0,1.73205080756888,0,0,0.166666666666667,3
124,0,0,0,0,0,1,-1,0,0,0.25,3
125,0,0,0,0,0,1,0,-1,0,0.25,3
126,0,0,0,0,0,1,0,0,-1,0.25,3
127,0,0,0,0,0,1,0,0,0,-3.99999999999999,3
128,0,0,0,0,0,1,0,0,1,0.25,3
129,0,0,0,0,0,1,0,1,0,0.25,3
130,0,0,0,0,0,1,1,0,0,0.25,3
131,0,0,0,0,0,1.73205080756888,0,0,0,0.166666666666667,3
132,0,0,0,0,1,-1,0,0,0,0.25,3
133,0,0,0,0,1,0,-1,0,0,0.25,3
134,0,0,0,0,1,0,0,-1,0,0.25,3
135,0,0,0,0,1,0,0,0,-1,0.25,3
136,0,0,0,0,1,0,0,0,0,-3.99999999999999,3
137,0,0,0,0,1,0,0,0,1,0.25,3
138,0,0,0,0,1,0,0,1,0,0.25,3
139,0,0,0,0,1,0,1,0,0,0.25,3
140,0,0,0,0,1,1,0,0,0,0.25,3
141,0,0,0,0,1.73205080756888,0,0,0,0,0.166666666666667,3
142,0,0,0,1,-1,0,0,0,0,0.25,3
143,0,0,0,1,0,-1,0,0,0,0.25,3
144,0,0,0,1,0,0,-1,0,0,0.25,3
145,0,0,0,1,0,0,0,-1,0,0.25,3
146,0,0,0,1,0,0,0,0,-1,0.25,3
147,0,0,0,1,0,0,0,0,0,-3.99999999999999,3
148,0,0,0,1,0,0,0,0,1,0.25,3
149,0,0,0,1,0,0,0,1,0,0.25,3
150,0,0,0,1,0,0,1,0,0,0.25,3
151,0,0,0,1,0,1,0,0,0,0.25,3
152,0,0,0,1,1,0,0,0,0,0.25,3
153,0,0,0,1.73205080756888,0,0,0,0,0,0.166666666666667,3
154,0,0,1,-1,0,0,0,0,0,0.25,3
155,0,0,1,0,-1,0,0,0,0,0.25,3
156,0,0,1,0,0,-1,0,0,0,0.25,3
157,0,0,1,0,0,0,-1,0,0,0.25,3
158,0,0,1,0,0,0,0,-1,0,0.25,3
159,0,0,1,0,0,0,0,0,-1,0.25,3
160,0,0,1,0,0,0,0,0,0,-3.99999999999999,3
161,0,0,1,0,0,0,0,0,1,0.25,3
162,0,0,1,0,0,0,0,1,0,0.25,3
163,0,0,1,0,0,0,1,0,0,0.25,3
164,0,0,1,0,0,1,0,0,0,0.25,3
165,0,0,1,0,1,0,0,0,0,0.25,3
166,0,0,1,1,0,0,0,0,0,0.25,3
167,0,0,1.73205080756888,0,0,0,0,0,0,0.166666666666667,3
168,0,1,-1,0,0,0,0,0,0,0.25,3
169,0,1,0,-1,0,0,0,0,0,0.25,3
170,0,1,0,0,-1,0,0,0,0,0.25,3
171,0,1,0,0,0,-1,0,0,0,0.25,3
172,0,1,0,0,0,0,-1,0,0,0.25,3
173,0,1,0,0,0,0,0,-1,0,0.25,3
174,0,1,0,0,0,0,0,0,-1,0.25,3
175,0,1,0,0,0,0,0,0,0,-3.99999999999999,3
176,0,1,0,0,0,0,0,0,1,0.25,3
177,0,1,0,0,0,0,0,1,0,0.25,3
178,0,1,0,0,0,0,1,0,0,0.25,3
179,0,1,0,0,0,1,0,0,0,0.25,3
180,0,1,0,0,1,0,0,0,0,0.25,3
181,0,1,0,1,0,0,0,0,0,0.25,3
182,0,1,1,0,0,0,0,0,0,0.25,3
183,0,1.73205080756888,0,0,0,0,0,0,0,0.166666666666667,3
184,1,-1,0,0,0,0,0,0,0,0.25,3
185,1,0,-1,0,0,0,0,0,0,0.25,3
186,1,0,0,-1,0,0,0,0,0,0.25,3
187,1,0,0,0,-1,0,0,0,0,0.25,3
188,1,0,0,0,0,-1,0,0,0,0.25,3
189,1,0,0,0,0,0,-1,0,0,0.25,3
190,1,0,0,0,0,0,0,-1,0,0.25,3
191,1,0,0,0,0,0,0,0,-1,0.25,3
192,1,0,0,0,0,0,0,0,0,-3.99999999999999,3
193,1,0,0,0,0,0,0,0,1,0.25,3
194,1,0,0,0,0,0,0,1,0,0.25,3
195,1,0,0,0,0,0,1,0,0,0.25,3
196,1,0,0,0,0,1,0,0,0,0.25,3
197,1,0,0,0,1,0,0,0,0,0.25,3
198,1,0,0,1,0,0,0,0,0,0.25,3
199,1,0,1,0,0,0,0,0,0,0.25,3
200,1,1,0,0,0,0,0,0,0,0.25,3
201,1.73205080756888,0,0,0,0,0,0,0,0,0.166666666666667,3
202,-2.33441421833898,0,0,0,0,0,0,0,0,0.0458758547680663,4
203,-1.73205080756888,-1,0,0,0,0,0,0,0,0.0833333333333293,4
204,-1.73205080756888,0,-1,0,0,0,0,0,0,0.0833333333333293,4
205,-1.73205080756888,0,0,-1,0,0,0,0,0,0.0833333333333293,4
206,-1.73205080756888,0,0,0,-1,0,0,0,0,0.0833333333333293,4
207,-1.73205080756888,0,0,0,0,-1,0,0,0,0.0833333333333293,4
208,-1.73205080756888,0,0,0,0,0,-1,0,0,0.0833333333333293,4
209,-1.73205080756888,0,0,0,0,0,0,-1,0,0.0833333333333293,4
210,-1.73205080756888,0,0,0,0,0,0,0,-1,0.0833333333333293,4
211,-1.73205080756888,0,0,0,0,0,0,0,0,-1.33333333333327,4
212,-1.73205080756888,0,0,0,0,0,0,0,1,0.0833333333333293,4
213,-1.73205080756888,0,0,0,0,0,0,1,0,0.0833333333333293,4
214,-1.73205080756888,0,0,0,0,0,1,0,0,0.0833333333333293,4
215,-1.73205080756888,0,0,0,0,1,0,0,0,0.0833333333333293,4
216,-1.73205080756888,0,0,0,1,0,0,0,0,0.0833333333333293,4
217,-1.73205080756888,0,0,1,0,0,0,0,0,0.0833333333333293,4
218,-1.73205080756888,0,1,0,0,0,0,0,0,0.0833333333333293,4
219,-1.73205080756888,1,0,0,0,0,0,0,0,0.0833333333333293,4
220,-1,-1.73205080756888,0,0,0,0,0,0,0,0.0833333333333293,4
221,-1,-1,-1,0,0,0,0,0,0,0.124999999999994,4
222,-1,-1,0,-1,0,0,0,0,0,0.124999999999994,4
223,-1,-1,0,0,-1,0,0,0,0,0.124999999999994,4
224,-1,-1,0,0,0,-1,0,0,0,0.124999999999994,4
225,-1,-1,0,0,0,0,-1,0,0,0.124999999999994,4
226,-1,-1,0,0,0,0,0,-1,0,0.124999999999994,4
227,-1,-1,0,0,0,0,0,0,-1,0.124999999999994,4
228,-1,-1,0,0,0,0,0,0,0,-1.9999999999999,4
229,-1,-1,0,0,0,0,0,0,1,0.124999999999994,4
230,-1,-1,0,0,0,0,0,1,0,0.124999999999994,4
231,-1,-1,0,0,0,0,1,0,0,0.124999999999994,4
232,-1,-1,0,0,0,1,0,0,0,0.124999999999994,4
233,-1,-1,0,0,1,0,0,0,0,0.124999999999994,4
234,-1,-1,0,1,0,0,0,0,0,0.124999999999994,4
235,-1,-1,1,0,0,0,0,0,0,0.124999999999994,4
236,-1,0,-1.73205080756888,0,0,0,0,0,0,0.0833333333333293,4
237,-1,0,-1,-1,0,0,0,0,0,0.124999999999994,4
238,-1,0,-1,0,-1,0,0,0,0,0.124999999999994,4
239,-1,0,-1,0,0,-1,0,0,0,0.124999999999994,4
240,-1,0,-1,0,0,0,-1,0,0,0.124999999999994,4
241,-1,0,-1,0,0,0,0,-1,0,0.124999999999994,4
242,-1,0,-1,0,0,0,0,0,-1,0.124999999999994,4
243,-1,0,-1,0,0,0,0,0,0,-1.9999999999999,4
244,-1,0,-1,0,0,0,0,0,1,0.124999999999994,4
245,-1,0,-1,0,0,0,0,1,0,0.124999999999994,4
246,-1,0,-1,0,0,0,1,0,0,0.124999999999994,4
247,-1,0,-1,0,0,1,0,0,0,0.124999999999994,4
248,-1,0,-1,0,1,0,0,0,0,0.124999999999994,4
