,z1,z2,z3,z4,z5,z6,z7,z8,z9
98,-9.803980398039805,-9.803980398039805,-9.803980398039805,-9.803980398039805,-9.803980398039805,-9.803980398039805,-9.803980398039805,-9.803980398039805,-9.803980398039805
99,-9.801980198019802,-9.801980198019802,-9.801980198019802,-9.801980198019802,-9.801980198019802,-9.801980198019802,-9.801980198019802,-9.801980198019802,-9.801980198019802
100,-9.7999799979998,-9.7999799979998,-9.7999799979998,-9.7999799979998,-9.7999799979998,-9.7999799979998,-9.7999799979998,-9.7999799979998,-9.7999799979998
101,-9.797979797979798,-9.797979797979798,-9.797979797979798,-9.797979797979798,-9.797979797979798,-9.797979797979798,-9.797979797979798,-9.797979797979798,-9.797979797979798
102,-9.795979597959796,-9.795979597959796,-9.795979597959796,-9.795979597959796,-9.795979597959796,-9.795979597959796,-9.795979597959796,-9.795979597959796,-9.795979597959796
103,-9.793979397939793,-9.793979397939793,-9.793979397939793,-9.793979397939793,-9.793979397939793,-9.793979397939793,-9.793979397939793,-9.793979397939793,-9.793979397939793
104,-9.791979197919792,-9.791979197919792,-9.791979197919792,-9.791979197919792,-9.791979197919792,-9.791979197919792,-9.791979197919792,-9.791979197919792,-9.791979197919792
105,-9.78997899789979,-9.78997899789979,-9.78997899789979,-9.78997899789979,-9.78997899789979,-9.78997899789979,-9.78997899789979,-9.78997899789979,-9.78997899789979
106,-9.787978797879788,-9.787978797879788,-9.787978797879788,-9.787978797879788,-9.787978797879788,-9.787978797879788,-9.787978797879788,-9.787978797879788,-9.787978797879788
107,-9.785978597859787,-9.785978597859787,-9.785978597859787,-9.785978597859787,-9.785978597859787,-9.785978597859787,-9.785978597859787,-9.785978597859787,-9.785978597859787
108,-9.783978397839784,-9.783978397839784,-9.783978397839784,-9.783978397839784,-9.783978397839784,-9.783978397839784,-9.783978397839784,-9.783978397839784,-9.783978397839784
109,-9.781978197819782,-9.781978197819782,-9.781978197819782,-9.781978197819782,-9.781978197819782,-9.781978197819782,-9.781978197819782,-9.781978197819782,-9.781978197819782
110,-9.77997799779978,-9.77997799779978,-9.77997799779978,-9.77997799779978,-9.77997799779978,-9.77997799779978,-9.77997799779978,-9.77997799779978,-9.77997799779978
111,-9.777977797779778,-9.777977797779778,-9.777977797779778,-9.777977797779778,-9.777977797779778,-9.777977797779778,-9.777977797779778,-9.777977797779778,-9.777977797779778
